decel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.75,4.44,543.58,165.15,0.94,277.08,10.58,65.68,50.54,0
3.97959,4.54,470.06,112.73,0.86,209.29,10.64,63.89,52.5,0
4.20918,4.44,495.37,131.88,0.91,233.99,10.66,63.94,52.99,0
4.43878,5.22,566.91,190.05,1.03,303.66,10.52,64.74,51.1,0
4.66837,4.49,463.88,107.04,0.85,202.74,10.68,63.91,52.82,0
4.89796,4.52,470.92,114.68,0.84,208.47,10.7,64.39,52.46,0
5.12755,4.71,468.48,112.31,0.85,205.67,10.69,64.34,52.44,0
5.35714,4.51,519.08,149.61,0.91,254.91,10.67,64.96,51.38,0
5.58673,4.79,488.72,127.34,0.9,227.41,10.65,63.94,52.69,0
5.81633,4.62,504.55,138.69,0.91,242.25,10.66,64.3,52.14,0
6.04592,4.5,488.89,126.55,0.88,226.59,10.69,64.4,52.1,0
6.27551,4.91,484.21,124.24,0.88,222.75,10.64,64.12,52.24,0
6.5051,4.94,502.07,138.44,0.91,240.22,10.64,64.25,52.16,0
6.73469,4.57,529.08,156.28,0.91,262.52,10.66,65.71,50.71,0
6.96429,4.58,489.54,127.83,0.89,226.25,10.67,64.48,52.7,0
7.19388,4.73,534.71,164.51,0.98,272.03,10.6,64.41,51.91,0
7.42347,4.58,487.26,127.6,0.88,225.74,10.7,64.05,52.66,0
7.65306,4.55,501.33,136.92,0.89,237.24,10.68,64.69,52.1,0
7.88265,4.91,497.5,135.63,0.9,235.84,10.65,64.1,52.91,0
8.11224,4.49,473.74,118.0,0.88,213.71,10.7,63.51,53.46,0
8.34184,4.44,491.87,131.43,0.9,230.83,10.69,64.02,52.82,0
8.57143,4.59,550.4,173.62,0.97,283.79,10.63,65.69,50.84,0
8.80102,5.04,494.96,133.5,0.9,233.3,10.67,64.02,52.56,0
9.03061,4.57,543.13,166.6,0.95,275.81,10.68,65.93,50.86,0
9.2602,4.49,460.04,108.9,0.82,198.5,10.7,64.13,52.56,0
9.4898,4.97,509.94,144.4,0.91,247.49,10.64,64.28,52.21,0
9.71939,4.6,502.86,140.21,0.92,241.65,10.66,63.97,52.38,0
9.94898,4.57,490.4,130.0,0.91,229.17,10.69,63.97,53.48,0
10.17857,5.18,577.22,199.34,1.03,313.63,10.57,64.86,50.89,0
10.40816,4.5,522.42,153.83,0.93,259.07,10.63,64.64,51.96,0
10.63776,4.9,515.33,147.99,0.92,251.68,10.62,64.84,51.27,0
10.86735,4.65,500.54,138.22,0.91,239.11,10.7,63.99,52.92,0
11.09694,4.44,501.82,138.22,0.9,239.68,10.69,64.38,52.13,0
11.32653,4.81,503.16,138.76,0.9,239.29,10.69,64.82,51.82,0
11.55612,4.55,458.19,106.01,0.85,197.48,10.73,63.87,53.16,0
11.78571,4.55,545.83,169.49,0.96,280.13,10.64,65.51,50.73,0
12.01531,4.42,520.76,150.03,0.93,257.44,10.66,64.85,51.65,0
12.2449,4.54,494.96,134.42,0.91,233.24,10.69,64.09,52.67,0
12.47449,4.66,548.9,173.0,0.98,283.45,10.65,65.31,51.19,0
12.70408,4.47,519.82,150.96,0.91,255.43,10.71,65.14,51.67,0
12.93367,4.67,515.59,146.09,0.92,250.5,10.7,65.0,52.43,0
13.16327,4.38,470.45,115.31,0.85,208.73,10.74,64.1,52.72,0
13.39286,4.7,538.91,165.04,0.97,275.32,10.62,64.74,51.48,0
13.62245,4.48,492.24,131.3,0.89,229.93,10.71,64.18,52.63,0
13.85204,4.8,492.05,132.66,0.89,230.95,10.65,63.96,52.42,0
14.08163,4.56,488.27,127.23,0.88,226.26,10.71,64.31,52.51,0
14.31122,4.48,488.81,129.84,0.88,226.92,10.72,64.13,52.73,0
14.54082,4.37,461.27,108.76,0.84,199.98,10.72,63.97,52.57,0
14.77041,4.58,544.61,167.72,0.96,277.07,10.67,65.97,51.09,0
15.0,4.55,496.05,134.88,0.9,234.2,10.71,64.15,53.04,0
