accel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.45,4.83,629.91,207.89,1.05,368.71,9.77,64.63,47.05,0
1.53878,4.98,656.32,233.81,1.1,394.5,9.82,64.66,47.6,0
1.62755,4.86,573.4,172.52,1.01,316.27,9.92,63.06,49.06,0
1.71633,4.83,567.6,169.92,1.02,311.22,9.97,62.83,49.64,0
1.8051,4.75,594.68,190.6,1.04,336.53,10.02,63.49,49.12,0
1.89388,4.64,586.33,181.68,1.03,326.24,10.1,63.98,49.39,0
1.98265,4.84,590.95,186.53,1.02,329.42,10.17,64.47,49.29,0
2.07143,4.71,574.64,173.09,1.02,314.33,10.21,64.01,49.82,0
2.1602,4.61,577.97,177.77,1.01,315.59,10.23,64.71,49.27,0
2.24898,5.01,540.72,150.38,0.97,281.23,10.26,63.62,49.8,0
2.33776,4.49,498.07,121.73,0.91,240.89,10.36,62.91,51.16,0
2.42653,4.45,466.21,98.92,0.85,209.78,10.43,62.76,51.84,0
2.51531,4.71,532.71,148.09,0.98,275.47,10.39,62.95,51.57,0
2.60408,4.64,538.44,150.47,0.97,277.17,10.46,63.97,51.26,0
2.69286,4.53,517.45,134.46,0.93,256.33,10.5,63.92,51.35,0
2.78163,4.42,461.9,96.02,0.86,203.77,10.58,63.15,52.45,0
2.87041,4.35,466.82,97.3,0.84,206.06,10.6,63.8,51.89,0
2.95918,4.44,532.19,145.95,0.96,270.05,10.59,64.18,51.26,0
3.04796,4.36,506.8,127.59,0.9,244.62,10.63,64.21,51.54,0
3.13673,4.34,475.85,104.84,0.86,214.24,10.67,64.04,51.95,0
3.22551,4.82,533.9,144.96,0.96,269.0,10.64,64.88,51.16,0
3.31429,4.58,526.66,141.93,0.95,263.38,10.68,64.47,52.04,0
3.40306,4.97,538.67,148.21,0.96,271.11,10.65,65.65,51.49,0
3.49184,4.26,474.18,103.91,0.85,210.88,10.76,64.36,52.34,0
3.58061,4.73,487.19,113.43,0.88,224.56,10.75,64.27,52.3,0
3.66939,4.22,473.22,103.42,0.86,211.12,10.8,64.1,52.51,0
3.75816,4.36,514.84,135.92,0.93,251.6,10.77,64.46,52.38,0
3.84694,4.32,480.85,108.7,0.87,217.57,10.79,64.45,52.38,0
3.93571,4.61,481.22,112.14,0.88,219.19,10.81,64.1,52.91,0
4.02449,4.66,487.42,113.48,0.89,222.74,10.82,64.77,52.79,0
4.11327,4.07,455.3,90.23,0.82,191.01,10.89,64.65,52.78,0
4.20204,4.26,497.66,121.45,0.89,232.51,10.85,64.85,52.62,0
4.29082,4.39,486.07,110.9,0.86,217.87,10.88,65.58,52.12,0
4.37959,4.42,482.06,111.76,0.89,219.17,10.89,64.19,53.53,0
4.46837,4.24,489.8,117.87,0.88,224.49,10.9,64.9,52.87,0
4.55714,4.43,500.31,125.98,0.91,237.31,10.88,64.28,53.14,0
4.64592,4.35,490.79,116.7,0.87,224.31,10.95,65.16,52.66,0
4.73469,4.36,479.3,110.07,0.86,215.1,10.94,64.63,53.01,0
4.82347,4.71,475.69,109.34,0.88,212.53,10.92,64.3,53.26,0
4.91224,4.23,476.59,106.06,0.87,210.6,10.98,64.98,53.33,0
5.00102,4.32,496.11,123.46,0.91,232.62,10.94,64.31,53.59,0
5.0898,4.25,461.32,97.97,0.84,197.47,10.98,64.52,53.46,0
5.17857,4.38,512.15,135.17,0.95,247.69,10.95,64.65,53.33,0
5.26735,4.31,511.27,130.69,0.9,242.83,10.94,65.76,52.43,0
5.35612,4.31,500.55,123.44,0.88,231.35,10.96,65.96,52.51,0
5.4449,4.45,540.93,155.43,0.99,273.0,10.91,65.58,52.79,0
5.53367,4.68,462.82,97.03,0.84,197.0,11.03,64.96,53.79,0
5.62245,4.25,491.26,117.96,0.88,224.32,11.03,65.27,53.38,0
5.71122,4.34,532.08,150.5,0.96,264.39,11.0,65.41,53.12,0
