tau,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
0.5,4.69,461.35,109.85,0.81,195.38,10.78,65.3,51.99,9
0.53061,4.52,524.93,160.23,0.93,259.79,10.7,65.25,51.79,15
0.56122,4.9,475.35,121.78,0.85,211.89,10.74,64.84,51.95,9
0.59184,4.79,594.5,216.43,1.08,326.77,10.62,65.99,50.96,5
0.62245,4.55,462.21,113.54,0.83,200.21,10.74,64.11,53.02,4
0.65306,4.57,485.92,131.62,0.88,223.9,10.71,64.11,53.02,1
0.68367,4.39,466.47,114.57,0.83,202.5,10.77,64.75,52.32,1
0.71429,4.51,518.2,155.59,0.92,254.49,10.68,64.8,51.99,2
0.7449,4.6,491.46,136.94,0.9,230.49,10.68,64.0,52.72,0
0.77551,4.39,451.87,102.41,0.8,187.26,10.79,64.83,52.33,0
0.80612,4.41,478.21,123.72,0.86,215.43,10.74,64.4,52.61,0
0.83673,4.64,551.31,179.56,0.99,285.9,10.65,65.39,51.61,0
0.86735,4.41,484.66,128.96,0.87,222.03,10.73,64.32,52.44,0
0.89796,4.58,539.28,172.59,0.98,275.52,10.64,64.77,52.04,0
0.92857,4.45,495.37,135.82,0.89,232.34,10.71,64.58,52.33,0
0.95918,4.62,507.59,144.84,0.91,243.97,10.72,64.73,52.12,0
0.9898,4.6,538.41,170.75,0.98,274.88,10.64,64.71,52.14,0
1.02041,4.4,513.51,149.9,0.91,250.77,10.64,64.58,51.63,0
1.05102,4.38,478.05,123.61,0.86,215.93,10.69,64.22,52.69,0
1.08163,4.31,476.35,120.56,0.84,212.01,10.7,65.13,51.7,0
1.11224,4.56,519.04,152.09,0.93,254.26,10.71,65.06,52.27,0
1.14286,4.68,526.15,158.83,0.94,262.34,10.67,64.9,52.0,0
1.17347,4.53,479.97,122.63,0.86,215.83,10.71,64.75,52.32,0
1.20408,4.46,528.0,158.06,0.93,262.93,10.65,65.3,51.26,0
1.23469,4.5,520.83,153.19,0.92,256.42,10.69,65.09,51.99,0
1.26531,4.71,559.29,183.11,1.0,294.55,10.6,65.04,51.46,0
1.29592,4.98,508.84,141.26,0.9,243.1,10.67,65.41,51.72,0
1.32653,4.95,504.27,140.49,0.91,240.58,10.66,64.72,52.04,1
1.35714,4.64,488.58,128.9,0.89,225.73,10.68,64.41,52.32,0
1.38776,4.48,480.86,121.88,0.87,217.38,10.75,64.59,52.7,0
1.41837,4.47,485.25,127.77,0.88,223.67,10.65,64.07,52.48,0
1.44898,4.62,499.93,137.8,0.91,239.36,10.63,63.87,52.41,0
1.47959,4.5,578.47,192.65,1.02,311.42,10.58,65.98,50.35,0
1.5102,4.5,479.77,122.34,0.86,217.46,10.7,64.18,52.17,0
1.54082,4.56,482.16,125.25,0.88,221.07,10.65,64.0,52.27,0
1.57143,4.43,491.32,130.0,0.87,228.65,10.67,64.55,51.66,0
1.60204,4.86,505.47,139.66,0.89,241.96,10.62,64.85,51.8,0
1.63265,4.44,515.95,147.84,0.91,253.33,10.64,64.69,51.42,0
1.66327,4.49,521.05,148.11,0.92,255.21,10.65,65.47,51.22,0
1.69388,4.63,524.26,155.62,0.94,260.55,10.62,64.73,52.35,0
1.72449,4.76,484.33,123.74,0.87,221.62,10.64,64.45,52.53,0
1.7551,4.54,527.56,155.34,0.96,264.7,10.65,64.46,52.52,0
1.78571,4.6,525.41,152.86,0.94,261.8,10.62,64.72,51.7,0
1.81633,4.4,487.6,125.48,0.87,224.8,10.64,64.63,51.69,0
1.84694,4.55,530.93,161.49,0.96,269.46,10.56,64.21,51.8,0
1.87755,4.53,514.2,145.43,0.92,251.55,10.6,64.53,51.32,0
1.90816,4.47,515.66,145.97,0.91,252.77,10.62,64.65,51.6,0
1.93878,4.43,505.15,140.07,0.9,242.96,10.62,64.21,51.95,0
1.96939,4.88,480.81,121.88,0.87,219.29,10.62,64.05,52.11,0
2.0,4.67,558.83,177.8,0.99,293.79,10.56,65.3,51.03,0
