delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.0,4.55,534.4,159.96,0.94,271.12,10.53,64.78,50.99,0
2.12245,4.61,517.83,149.52,0.94,256.38,10.55,64.19,51.61,0
2.2449,4.39,457.97,103.56,0.82,196.4,10.64,64.07,52.5,0
2.36735,4.51,477.56,118.54,0.87,217.01,10.64,63.82,52.73,0
2.4898,4.78,546.56,174.02,1.0,285.33,10.56,64.09,52.15,0
2.61224,4.4,479.08,118.92,0.87,216.08,10.64,64.39,52.54,0
2.73469,4.6,496.07,133.0,0.89,234.84,10.63,64.04,52.33,0
2.85714,4.84,494.84,134.17,0.9,234.52,10.6,63.82,52.43,0
2.97959,5.01,545.2,167.27,0.95,277.71,10.61,65.93,50.79,0
3.10204,4.67,522.28,153.85,0.94,259.78,10.63,64.3,52.26,0
3.22449,4.39,459.04,104.62,0.81,195.95,10.71,64.58,52.19,0
3.34694,4.61,505.71,142.17,0.91,244.77,10.64,63.91,51.95,0
3.46939,4.46,522.29,151.44,0.92,257.82,10.69,65.03,51.67,0
3.59184,4.57,541.8,166.34,0.97,278.91,10.57,64.71,51.16,0
3.71429,4.35,458.6,106.44,0.83,198.14,10.67,63.78,52.7,0
3.83673,4.85,507.64,142.9,0.92,245.02,10.64,64.41,52.33,0
3.95918,4.59,509.53,143.01,0.91,245.63,10.69,64.87,51.79,0
4.08163,4.49,480.11,123.07,0.89,220.27,10.64,63.7,52.7,0
4.20408,4.32,481.81,122.56,0.86,219.04,10.67,64.42,51.86,0
4.32653,4.63,498.25,136.46,0.9,236.93,10.63,64.0,52.15,0
4.44898,4.32,462.97,107.46,0.82,200.08,10.73,64.45,52.14,0
4.57143,4.48,480.26,124.2,0.88,220.0,10.7,63.83,52.77,0
4.69388,4.4,476.54,118.48,0.85,212.19,10.74,64.73,52.15,0
4.81633,4.87,506.55,144.99,0.93,247.3,10.64,63.48,52.78,0
4.93878,4.4,450.46,102.29,0.82,190.29,10.74,63.68,53.05,0
5.06122,4.35,459.58,105.33,0.83,197.5,10.72,64.31,52.6,0
5.18367,4.61,552.5,172.33,0.95,283.81,10.66,66.31,50.63,0
5.30612,4.5,484.55,123.74,0.87,220.96,10.7,64.57,52.33,0
5.42857,4.69,561.91,180.3,0.97,292.32,10.66,66.52,50.58,0
5.55102,4.42,501.34,137.29,0.89,237.93,10.71,64.71,51.96,0
5.67347,4.55,517.85,151.0,0.94,256.52,10.66,64.01,52.53,0
5.79592,4.43,470.74,113.49,0.84,207.74,10.76,64.58,52.19,1
5.91837,4.35,506.58,140.32,0.9,242.56,10.72,64.87,51.6,0
6.04082,4.54,493.37,129.88,0.87,228.79,10.72,65.08,51.78,0
6.16327,4.46,478.04,122.19,0.87,217.25,10.71,63.84,52.72,0
6.28571,4.43,478.44,119.51,0.87,215.15,10.76,64.51,52.32,0
6.40816,4.62,529.03,158.88,0.94,265.14,10.67,64.87,51.52,0
6.53061,4.65,502.34,139.99,0.91,241.15,10.68,63.97,52.44,0
6.65306,4.63,515.34,151.03,0.93,253.71,10.67,64.2,52.35,0
6.77551,4.6,584.52,199.59,1.03,317.22,10.62,65.96,50.75,0
6.89796,4.47,494.59,133.25,0.9,233.65,10.69,63.91,52.57,0
7.02041,4.56,514.26,146.69,0.91,250.46,10.69,64.78,51.72,0
7.14286,4.38,470.91,116.51,0.85,209.66,10.71,64.08,52.34,0
7.26531,4.96,525.57,155.46,0.92,260.04,10.69,65.43,51.34,0
7.38776,4.53,492.99,131.59,0.89,230.17,10.7,64.34,52.39,0
7.5102,4.54,485.21,127.28,0.88,223.75,10.73,64.14,52.25,0
7.63265,4.55,541.72,171.46,0.98,278.75,10.63,64.47,51.96,0
7.7551,4.68,540.04,167.19,0.96,275.31,10.68,65.17,51.47,0
7.87755,4.44,489.22,128.67,0.87,226.07,10.73,64.74,52.12,1
8.0,4.98,534.95,163.92,0.95,272.14,10.65,64.53,51.87,0
